Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Basic Land — Plains,C,,0,,,,0.09,,
Basic Land — Plains,C,,0,,,,0.22,,
Basic Land — Swamp,C,,0,,,,0.08,,
Basic Land — Swamp,C,,0,,,,0.11,,
Basic Land — Swamp,C,,0,,,,0.05,,
Basic Land — Forest,C,,0,,,,0.07,,
Basic Land — Forest,C,,0,,,,0.1,,
Basic Land — Forest,C,,0,,,,0.07,,
Basic Land — Island,C,,0,,,,0.09,,
Basic Land — Island,C,,0,,,,0.1,,
Basic Land — Island,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.1,,
Basic Land — Mountain,C,,0,,,,0.1,,
Basic Land — Mountain,C,,0,,,,0.1,,
Basic Land — Plains,C,,0,,,,0.09,,
Basic Land — Plains,C,,0,,,,0.1,,
Basic Land — Plains,C,,0,,,,0.1,,
Basic Land — Swamp,C,,0,,,,0.07,,
Basic Land — Swamp,C,,0,,,,0.11,,
Basic Land — Swamp,C,,0,,,,0.12,,
Basic Land — Forest,C,,0,,,,0.09,,
Basic Land — Forest,C,,0,,,,0.07,,
Basic Land — Forest,C,,0,,,,0.1,,
Basic Land — Island,C,,0,,,,0.05,,
Basic Land — Island,C,,0,,,,0.08,,
Basic Land — Island,C,,0,,,,0.06,,
Basic Land — Mountain,C,,0,,,,0.1,,
Basic Land — Mountain,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.13,,
Basic Land — Plains,C,,0,,,,0.09,,
Basic Land — Plains,C,,0,,,,0.35,,
Basic Land — Plains,C,,0,,,,0.09,,
Basic Land — Swamp,C,,0,,,,0.12,,
Basic Land — Swamp,C,,0,,,,0.07,,
Basic Land — Swamp,C,,0,,,,0.07,,
